Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
05.10.2023;06.10.2023;282.450,50;52.129,25
06.10.2023;07.10.2023;277.013,25;55.258,25
07.10.2023;08.10.2023;240.579,50;-16.613,50
08.10.2023;09.10.2023;222.104,50;125.803,25
09.10.2023;10.10.2023;273.245,25;213.037,75
10.10.2023;11.10.2023;279.575,25;185.196,00
11.10.2023;12.10.2023;281.075,25;-16.922,50
12.10.2023;13.10.2023;279.312,00;145.918,50
13.10.2023;14.10.2023;275.351,00;51.228,25
14.10.2023;15.10.2023;239.243,75;-67.125,75
15.10.2023;16.10.2023;226.415,50;-79.662,50
16.10.2023;17.10.2023;275.759,25;141.019,00
17.10.2023;18.10.2023;279.479,50;224.429,75
18.10.2023;19.10.2023;280.247,50;165.193,25
19.10.2023;20.10.2023;280.292,75;90.650,25
20.10.2023;21.10.2023;276.506,25;13.642,25
21.10.2023;22.10.2023;236.748,75;73.000,25
22.10.2023;23.10.2023;221.689,75;77.709,75
23.10.2023;24.10.2023;273.105,25;187.506,50
24.10.2023;25.10.2023;277.643,25;168.988,50
25.10.2023;26.10.2023;278.192,75;212.821,00
26.10.2023;27.10.2023;278.873,00;186.725,25
27.10.2023;28.10.2023;273.156,50;229.470,00
28.10.2023;29.10.2023;236.278,50;132.324,50
29.10.2023;30.10.2023;230.708,50;-9.606,25
30.10.2023;31.10.2023;284.325,00;138.166,50
31.10.2023;01.11.2023;239.795,50;54.221,50
01.11.2023;02.11.2023;292.816,75;152.118,75
02.11.2023;03.11.2023;293.466,25;63.788,50
03.11.2023;04.11.2023;289.410,75;116.138,00
04.11.2023;05.11.2023;252.256,75;1.722,25
05.11.2023;06.11.2023;236.995,00;9.199,25
06.11.2023;07.11.2023;288.428,75;-26.097,75
07.11.2023;08.11.2023;293.316,75;69.122,00
08.11.2023;09.11.2023;294.095,25;51.208,00
09.11.2023;10.11.2023;294.059,50;70.230,50
10.11.2023;11.11.2023;288.678,00;118.432,25
11.11.2023;12.11.2023;251.652,50;177.210,50
12.11.2023;13.11.2023;236.814,75;170.990,00
13.11.2023;14.11.2023;288.320,50;148.111,25
14.11.2023;15.11.2023;295.341,75;-27.170,75
15.11.2023;16.11.2023;294.633,00;156.879,50
16.11.2023;17.11.2023;294.900,25;110.677,75
17.11.2023;18.11.2023;292.299,00;129.753,75
18.11.2023;19.11.2023;253.468,50;181.574,75
19.11.2023;20.11.2023;239.282,50;-10.561,25
20.11.2023;21.11.2023;289.522,25;133.982,00
21.11.2023;22.11.2023;296.439,25;200.308,25
22.11.2023;23.11.2023;295.151,75;196.247,50
23.11.2023;24.11.2023;298.931,50;-65.226,75
24.11.2023;25.11.2023;294.573,50;-46.973,50
25.11.2023;26.11.2023;256.396,00;107.731,75
26.11.2023;27.11.2023;240.816,25;178.196,25
27.11.2023;28.11.2023;290.420,75;222.199,25
28.11.2023;29.11.2023;297.877,75;170.744,00
29.11.2023;30.11.2023;299.071,50;169.134,75
30.11.2023;01.12.2023;297.306,00;254.102,00
01.12.2023;02.12.2023;294.549,50;272.127,75
02.12.2023;03.12.2023;258.341,00;220.812,75
03.12.2023;04.12.2023;245.232,25;183.925,50
04.12.2023;05.12.2023;296.182,50;179.071,75
05.12.2023;06.12.2023;301.712,25;144.748,75
06.12.2023;07.12.2023;301.000,25;221.333,50
07.12.2023;08.12.2023;301.284,50;277.393,75
08.12.2023;09.12.2023;299.662,50;172.506,25
09.12.2023;10.12.2023;259.838,50;125.086,75
10.12.2023;11.12.2023;246.691,00;28.337,00
11.12.2023;12.12.2023;297.935,00;80.463,25
12.12.2023;13.12.2023;302.766,25;234.598,00
13.12.2023;14.12.2023;302.909,00;192.390,75
14.12.2023;15.12.2023;304.417,00;260.424,00
15.12.2023;16.12.2023;300.911,75;187.085,00
16.12.2023;17.12.2023;264.151,00;40.458,50
17.12.2023;18.12.2023;250.992,50;-8.988,00
18.12.2023;19.12.2023;300.531,75;52.927,00
19.12.2023;20.12.2023;306.689,00;63.932,50
20.12.2023;21.12.2023;310.767,50;18.737,50
21.12.2023;22.12.2023;311.533,50;-41.688,00
22.12.2023;23.12.2023;308.608,50;-58.969,50
23.12.2023;24.12.2023;267.809,75;16.251,00
24.12.2023;25.12.2023;252.067,25;-54.919,25
25.12.2023;26.12.2023;244.334,50;-66.027,50
26.12.2023;27.12.2023;253.554,50;-66.524,00
27.12.2023;28.12.2023;311.784,50;150.354,50
28.12.2023;29.12.2023;312.113,00;-353,00
29.12.2023;30.12.2023;308.951,00;-41.987,00
30.12.2023;31.12.2023;270.649,50;16.672,50
31.12.2023;01.01.2024;254.208,50;70.846,75
